Date,Medicine_ID,Medicine_Name,Category,Quantity_Sold,Price,Total_Amount,Day_of_Week,Is_Weekend,Month,Season,Year,Week_of_Year
2022-01-01,618,Atocor 80 Tablet,Cardiovascular,26,86.88,2258.88,Saturday,True,1,Winter,2022,52
2022-01-01,8131,Q-Car Forte  Tablet,Supplement,11,483.96,5323.56,Saturday,True,1,Winter,2022,52
2022-01-01,259,Alphadol 0.25mcg Capsule,Supplement,4,231.42,925.68,Saturday,True,1,Winter,2022,52
2022-01-01,5492,Matiz SR Capsule,Other,2,265.06,530.12,Saturday,True,1,Winter,2022,52
2022-01-01,6000,Mataret Cream,Dermatological,12,54.14,649.68,Saturday,True,1,Winter,2022,52
2022-01-01,9827,Telista-AM Tablet,Cardiovascular,20,105.43,2108.6,Saturday,True,1,Winter,2022,52
2022-01-01,2395,Eczrid Forte Lotion,Dermatological,11,219.18,2410.98,Saturday,True,1,Winter,2022,52
2022-01-01,662,Allerkast LC Tablet,Antipyretic,19,376.29,7149.51,Saturday,True,1,Winter,2022,52
2022-01-01,4817,Lubricart-D Tablet,Anti-inflammatory,18,288.47,5192.46,Saturday,True,1,Winter,2022,52
2022-01-01,2347,Etonow 120 Tablet,Analgesic,18,487.14,8768.52,Saturday,True,1,Winter,2022,52
2022-01-01,10905,Vitcofol S 100mg Injection,Supplement,5,55.97,279.85,Saturday,True,1,Winter,2022,52
2022-01-01,9780,Tide 5 Tablet,Cardiovascular,6,335.31,2011.86,Saturday,True,1,Winter,2022,52
2022-01-01,10841,Veloz 20 Tablet,Respiratory,25,112.31,2807.75,Saturday,True,1,Winter,2022,52
2022-01-01,5705,Montemac-L Kid  Tablet DT,Antipyretic,18,165.03,2970.54,Saturday,True,1,Winter,2022,52
2022-01-01,1006,Aeocal Max Softgel Capsule,Supplement,21,262.3,5508.3,Saturday,True,1,Winter,2022,52
2022-01-01,5369,Melapik  -HQ Cream,Other,21,72.69,1526.49,Saturday,True,1,Winter,2022,52
2022-01-01,8409,Retoz 60 Tablet,Analgesic,8,65.34,522.72,Saturday,True,1,Winter,2022,52
2022-01-01,8748,Rowasa 500mg Pellets,Gastrointestinal,14,255.23,3573.22,Saturday,True,1,Winter,2022,52
2022-01-01,502,Alerfix-M Tablet,Antipyretic,3,215.09,645.27,Saturday,True,1,Winter,2022,52
2022-01-01,3996,Jonac Gel,Analgesic,12,103.4,1240.8,Saturday,True,1,Winter,2022,52
2022-01-01,5757,Mycoclear 100 Capsule,Antibiotic,5,438.62,2193.1,Saturday,True,1,Winter,2022,52
2022-01-01,3655,Ivepred 4 Tablet,Antihistamine,16,120.01,1920.16,Saturday,True,1,Winter,2022,52
2022-01-01,146,Azithral Eye Ointment,Antibiotic,11,355.05,3905.55,Saturday,True,1,Winter,2022,52
2022-01-01,3076,Gluconorm-Z 80 Tablet,Antidiabetic,15,419.24,6288.6,Saturday,True,1,Winter,2022,52
2022-01-01,1776,Epidosin Injection,Analgesic,12,279.54,3354.48,Saturday,True,1,Winter,2022,52
