Date,Medicine_ID,Medicine_Name,Category,Quantity_Sold,Price,Total_Amount,Day_of_Week,Is_Weekend,Month,Season_x,Year,Week_of_Year,Temperature_Min,Temperature_Max,Temperature_Avg,Humidity,Rainfall,Season_y,Sales_Lag_7,Sales_Lag_14,Sales_Lag_30,Rolling_Avg_7,Rolling_Avg_14,Rolling_Avg_30,Growth_Rate_7
2023-03-24,20,Allegra 180mg Tablet,Antihistamine,8,411.91,3295.28,Friday,False,3,Summer,2023,12,26.9,36.9,31.9,45.0,0.0,Summer,32.0,21.0,10.0,17.0,22.928571428571427,20.2,-0.7272727272727273
2023-04-02,20,Allegra 180mg Tablet,Antihistamine,10,411.91,4119.1,Sunday,True,4,Summer,2023,13,28.4,36.3,32.3,48.2,0.0,Summer,29.0,22.0,17.0,14.285714285714286,22.071428571428573,19.966666666666665,-0.6333333333333333
2023-06-25,20,Allegra 180mg Tablet,Antihistamine,15,411.91,6178.65,Sunday,True,6,Monsoon,2023,25,27.3,33.8,30.6,78.6,92.3,Monsoon,39.0,24.0,31.0,10.857142857142858,21.428571428571427,19.433333333333334,-0.6
2023-07-23,20,Allegra 180mg Tablet,Antihistamine,1,411.91,411.91,Sunday,True,7,Monsoon,2023,29,27.5,34.3,30.9,84.4,0.0,Monsoon,13.0,41.0,10.0,9.142857142857142,18.571428571428573,19.133333333333333,-0.8571428571428571
2023-08-05,20,Allegra 180mg Tablet,Antihistamine,27,411.91,11121.57,Saturday,True,8,Monsoon,2023,31,25.0,33.1,29.1,91.2,1.5,Monsoon,18.0,25.0,27.0,10.428571428571429,18.714285714285715,19.133333333333333,0.47368421052631576
2023-09-01,20,Allegra 180mg Tablet,Antihistamine,25,411.91,10297.75,Friday,False,9,Monsoon,2023,35,26.4,29.3,27.8,91.7,30.1,Monsoon,5.0,26.0,16.0,13.285714285714286,18.642857142857142,19.433333333333334,3.3333333333333335
2023-09-09,20,Allegra 180mg Tablet,Antihistamine,28,411.91,11533.48,Saturday,True,9,Monsoon,2023,36,24.2,28.5,26.4,76.3,50.6,Monsoon,7.0,32.0,11.0,16.285714285714285,18.357142857142858,20.0,2.625
2023-09-16,20,Allegra 180mg Tablet,Antihistamine,29,411.91,11945.39,Saturday,True,9,Monsoon,2023,37,25.4,30.0,27.7,94.7,137.2,Monsoon,8.0,32.0,5.0,19.285714285714285,18.142857142857142,20.8,2.3333333333333335
2023-09-23,20,Allegra 180mg Tablet,Antihistamine,29,411.91,11945.39,Saturday,True,9,Monsoon,2023,38,22.8,28.4,25.6,78.5,18.0,Monsoon,10.0,29.0,15.0,22.0,18.142857142857142,21.266666666666666,1.7272727272727273
2023-09-29,20,Allegra 180mg Tablet,Antihistamine,35,411.91,14416.85,Friday,False,9,Monsoon,2023,39,26.3,28.8,27.5,74.1,138.2,Monsoon,15.0,39.0,20.0,24.857142857142858,17.857142857142858,21.766666666666666,1.25
2023-11-05,20,Allegra 180mg Tablet,Antihistamine,8,411.91,3295.28,Sunday,True,11,Spring,2023,44,21.2,32.7,26.9,70.4,0.0,Spring,1.0,13.0,6.0,25.857142857142858,17.5,21.833333333333332,3.5
2023-11-11,20,Allegra 180mg Tablet,Antihistamine,9,411.91,3707.19,Saturday,True,11,Spring,2023,45,22.6,34.6,28.6,71.6,14.7,Spring,27.0,18.0,9.0,23.285714285714285,16.857142857142858,21.833333333333332,-0.6428571428571429
2023-11-14,20,Allegra 180mg Tablet,Antihistamine,16,411.91,6590.56,Tuesday,False,11,Spring,2023,46,24.5,30.3,27.4,56.8,0.0,Spring,25.0,5.0,47.0,22.0,17.642857142857142,20.8,-0.34615384615384615
2023-12-04,20,Allegra 180mg Tablet,Antihistamine,15,411.91,6178.65,Monday,False,12,Winter,2023,49,16.3,28.9,22.6,55.2,2.8,Winter,28.0,7.0,20.0,20.142857142857142,18.214285714285715,20.633333333333333,-0.4482758620689655
2023-12-06,20,Allegra 180mg Tablet,Antihistamine,11,411.91,4531.01,Wednesday,False,12,Winter,2023,49,14.1,24.3,19.2,66.6,0.0,Winter,29.0,8.0,11.0,17.571428571428573,18.428571428571427,20.633333333333333,-0.6
2023-12-19,20,Allegra 180mg Tablet,Antihistamine,13,411.91,5354.83,Tuesday,False,12,Winter,2023,51,12.7,29.9,21.3,65.7,0.0,Winter,29.0,10.0,19.0,15.285714285714286,18.642857142857142,20.433333333333334,-0.5333333333333333
2024-01-12,20,Allegra 180mg Tablet,Antihistamine,10,411.91,4119.1,Friday,False,1,Winter,2024,2,15.8,24.0,19.9,60.6,0.0,Winter,35.0,15.0,21.0,11.714285714285714,18.285714285714285,20.066666666666666,-0.6944444444444444
2024-01-20,20,Allegra 180mg Tablet,Antihistamine,8,411.91,3295.28,Saturday,True,1,Winter,2024,3,12.4,29.1,20.8,52.9,0.0,Winter,8.0,1.0,22.0,11.714285714285714,18.785714285714285,19.6,0.0
2024-01-26,20,Allegra 180mg Tablet,Antihistamine,8,411.91,3295.28,Friday,False,1,Winter,2024,4,13.8,26.0,19.9,52.8,0.0,Winter,9.0,27.0,24.0,11.571428571428571,17.428571428571427,19.066666666666666,-0.1
2024-02-14,20,Allegra 180mg Tablet,Antihistamine,18,411.91,7414.38,Wednesday,False,2,Winter,2024,7,14.3,25.6,19.9,69.5,0.0,Winter,16.0,25.0,41.0,11.857142857142858,16.928571428571427,18.3,0.11764705882352941
2024-02-16,20,Allegra 180mg Tablet,Antihistamine,8,411.91,3295.28,Friday,False,2,Winter,2024,7,12.2,27.4,19.8,53.1,0.0,Winter,15.0,28.0,25.0,10.857142857142858,15.5,17.733333333333334,-0.4375
2024-02-23,20,Allegra 180mg Tablet,Antihistamine,10,411.91,4119.1,Friday,False,2,Winter,2024,8,17.8,26.8,22.3,61.8,1.9,Winter,11.0,29.0,26.0,10.714285714285714,14.142857142857142,17.2,-0.08333333333333333
2024-02-24,20,Allegra 180mg Tablet,Antihistamine,20,411.91,8238.2,Saturday,True,2,Winter,2024,8,17.2,29.0,23.1,65.1,0.0,Winter,13.0,29.0,32.0,11.714285714285714,13.5,16.8,0.5
2024-03-08,20,Allegra 180mg Tablet,Antihistamine,15,411.91,6178.65,Friday,False,3,Summer,2024,10,25.4,37.9,31.6,32.5,0.0,Summer,10.0,35.0,32.0,12.428571428571429,12.071428571428571,16.233333333333334,0.45454545454545453
2024-03-20,20,Allegra 180mg Tablet,Antihistamine,9,411.91,3707.19,Wednesday,False,3,Summer,2024,12,27.5,37.9,32.7,37.5,0.0,Summer,8.0,8.0,29.0,12.571428571428571,12.142857142857142,15.566666666666666,0.1111111111111111
2024-04-08,20,Allegra 180mg Tablet,Antihistamine,13,411.91,5354.83,Monday,False,4,Summer,2024,15,25.7,42.7,34.2,43.8,0.0,Summer,8.0,9.0,39.0,13.285714285714286,12.428571428571429,14.7,0.5555555555555556
2024-04-13,20,Allegra 180mg Tablet,Antihistamine,6,411.91,2471.46,Saturday,True,4,Summer,2024,15,26.1,44.2,35.2,41.2,0.0,Summer,18.0,16.0,13.0,11.571428571428571,11.714285714285714,14.466666666666667,-0.631578947368421
2024-04-25,20,Allegra 180mg Tablet,Antihistamine,25,411.91,10297.75,Thursday,False,4,Summer,2024,17,25.7,42.6,34.2,34.5,0.0,Summer,8.0,15.0,18.0,14.0,12.428571428571429,14.7,1.8888888888888888
2024-04-27,20,Allegra 180mg Tablet,Antihistamine,8,411.91,3295.28,Saturday,True,4,Summer,2024,17,28.7,40.5,34.6,47.7,0.0,Summer,10.0,11.0,5.0,13.714285714285714,12.214285714285714,14.8,-0.18181818181818182
2024-04-29,20,Allegra 180mg Tablet,Antihistamine,17,411.91,7002.47,Monday,False,4,Summer,2024,18,28.1,40.5,34.3,33.9,0.0,Summer,20.0,13.0,7.0,13.285714285714286,12.5,15.133333333333333,-0.14285714285714285
