Medicine_ID,Medicine_Name,Category,Quantity_Sold,Estimated_Monthly_Demand
7676,P2i-D Capsule PR,Respiratory,37.1,1113
4536,Lobate M Cream,Antibiotic,35.45454545454545,1063
7062,Okacet Cold Total Tablet,Respiratory,34.90909090909091,1047
8476,Recofast Syrup,Respiratory,34.86666666666667,1046
7427,Pantodac DSR Capsule,Respiratory,34.1875,1025
5435,Monocef 2gm Injection,Antibiotic,31.76923076923077,953
10343,Tancet L Tablet,Antihistamine,31.0,930
11249,Winolap 5 Tablet,Antihistamine,30.923076923076923,927
9138,Salbair 50mcg Transhaler,Respiratory,30.823529411764707,924
3473,Helirab-D Capsule SR,Respiratory,30.5,915
