Medicine_ID,Medicine_Name,Category,Quantity_Sold,Estimated_Monthly_Demand
11249,Winolap 5 Tablet,Antihistamine,50.0,1500
5454,MP 4mg Tablet,Antihistamine,41.4,1242
7562,Pataday Ophthalmic Solution,Antihistamine,34.5,1035
586,Alorti Tablet,Antihistamine,31.875,956
620,Alerfix Tablet,Antihistamine,31.857142857142858,955
5179,Medrol 8mg Tablet,Antihistamine,31.125,933
346,Alcarex Eye Drop,Antihistamine,31.0,930
2689,Fxla 180 Tablet,Antihistamine,31.0,930
11715,Zelgra 180 Tablet,Antihistamine,30.571428571428573,917
5172,Montek BL Tablet,Antihistamine,30.142857142857142,904
