Medicine_ID,Medicine_Name,Category,Quantity_Sold,Estimated_Monthly_Demand
2468,Folitrax 25 Tablet,Dermatological,32.333333333333336,970
3599,Halofast S Ointment,Dermatological,28.571428571428573,857
9528,Soronil 0.005% Ointment,Dermatological,27.75,832
4551,Looz Fibre Granules,Gastrointestinal,27.5,825
2527,Flutivate 0.005% Ointment,Dermatological,26.22222222222222,786
10054,Topcort Cream,Dermatological,26.0,780
6838,Ora-Fast Gel,Gastrointestinal,25.0,750
4800,Lozivate-MF Ointment,Dermatological,24.571428571428573,737
945,Argifizz 1500mg Tablet,Supplement,24.0,720
5369,Melapik  -HQ Cream,Other,23.5,705
